date,close,open,high,low,volume,change
2021/1/22,29447.85 ,29809.23 ,29862.89 ,29413.52 ,3380000000,-1.60%
2021/1/21,29927.76 ,29951.78 ,30135.50 ,29745.87 ,3000000000,-0.12%
2021/1/20,29962.47 ,29794.41 ,29993.47 ,29676.54 ,3940000000,1.08%
2021/1/19,29642.28 ,29100.17 ,29848.43 ,29100.17 ,4570000000,2.70%
2021/1/18,28862.77 ,28454.59 ,28864.25 ,28390.29 ,2960000000,1.01%
2021/1/15,28573.86 ,28394.37 ,28667.59 ,28294.66 ,4490000000,0.27%
2021/1/14,28496.86 ,28408.12 ,28510.92 ,28280.09 ,3210000000,0.93%
2021/1/13,28235.60 ,28309.32 ,28414.54 ,28136.64 ,3560000000,-0.15%
2021/1/12,28276.75 ,27894.29 ,28276.75 ,27781.42 ,3400000000,1.32%
2021/1/11,27908.22 ,28003.98 ,28176.65 ,27794.81 ,4370000000,0.11%
2021/1/8,27878.22 ,27630.03 ,27920.77 ,27538.20 ,5670000000,1.20%
2021/1/7,27548.52 ,27715.94 ,27752.36 ,27457.47 ,3780000000,-0.52%
2021/1/6,27692.30 ,27613.34 ,27756.43 ,27389.78 ,3080000000,0.15%
2021/1/5,27649.86 ,27281.34 ,27690.21 ,27150.38 ,3280000000,0.64%
2021/1/4,27472.81 ,27087.13 ,27502.83 ,27079.24 ,2870000000,0.89%
2020/12/31,27231.13 ,27194.79 ,27340.99 ,27163.51 ,2050000000,0.31%
2020/12/30,27147.11 ,26695.11 ,27159.47 ,26670.97 ,2550000000,2.18%
2020/12/29,26568.49 ,26490.45 ,26618.78 ,26432.91 ,2300000000,0.96%
2020/12/28,26314.63 ,26288.37 ,26514.08 ,26264.32 ,2670000000,-0.27%
2020/12/24,26386.56 ,26342.87 ,26470.40 ,26221.30 ,1300000000,0.16%
2020/12/23,26343.10 ,26083.11 ,26343.10 ,26071.76 ,2010000000,0.86%
2020/12/22,26119.25 ,26260.78 ,26365.20 ,25998.87 ,1750000000,-0.71%
2020/12/21,26306.68 ,26422.62 ,26498.65 ,26274.65 ,2040000000,-0.72%
2020/12/18,26498.60 ,26650.49 ,26668.10 ,26363.05 ,3080000000,-0.67%
2020/12/17,26678.38 ,26608.44 ,26678.38 ,26390.59 ,2260000000,0.82%
2020/12/16,26460.29 ,26421.21 ,26510.19 ,26318.74 ,2040000000,0.97%
2020/12/15,26207.29 ,26418.93 ,26436.04 ,26127.68 ,2590000000,-0.69%
2020/12/14,26389.52 ,26522.10 ,26544.12 ,26318.11 ,2210000000,-0.44%
2020/12/11,26505.87 ,26634.21 ,26704.01 ,26443.01 ,2500000000,0.36%
2020/12/10,26410.59 ,26335.26 ,26434.47 ,26287.02 ,2000000000,-0.35%
2020/12/9,26502.84 ,26510.42 ,26666.94 ,26445.66 ,2540000000,0.75%
2020/12/8,26304.56 ,26460.35 ,26460.35 ,26270.91 ,2540000000,-0.76%
2020/12/7,26506.85 ,26870.58 ,26870.58 ,26256.40 ,2810000000,-1.23%
2020/12/4,26835.92 ,26811.59 ,26835.92 ,26652.34 ,3210000000,0.40%
2020/12/3,26728.50 ,26623.42 ,26781.99 ,26556.02 ,2830000000,0.74%
2020/12/2,26532.58 ,26670.12 ,26670.12 ,26379.48 ,3700000000,-0.13%
2020/12/1,26567.68 ,26422.71 ,26662.18 ,26375.24 ,3560000000,0.86%
2020/11/30,26341.49 ,26853.39 ,26960.93 ,26322.68 ,5740000000,-2.06%
2020/11/27,26894.68 ,26758.49 ,27009.15 ,26704.60 ,2730000000,0.28%
2020/11/26,26819.45 ,26695.25 ,26819.45 ,26612.00 ,1980000000,0.56%
2020/11/25,26669.75 ,26819.96 ,27040.41 ,26591.30 ,2860000000,0.31%
2020/11/24,26588.20 ,26630.34 ,26630.34 ,26409.77 ,2010000000,0.39%
2020/11/23,26486.20 ,26659.79 ,26662.66 ,26369.34 ,2240000000,0.13%
2020/11/20,26451.54 ,26406.87 ,26564.25 ,26313.28 ,2150000000,0.36%
2020/11/19,26356.97 ,26460.61 ,26460.61 ,26311.64 ,2410000000,-0.71%
2020/11/18,26544.29 ,26434.24 ,26618.01 ,26344.86 ,2290000000,0.49%
2020/11/17,26415.09 ,26515.09 ,26530.54 ,26339.88 ,2390000000,0.13%
2020/11/16,26381.67 ,26362.07 ,26394.40 ,26191.54 ,2090000000,0.86%
2020/11/13,26156.86 ,26114.60 ,26156.86 ,25909.18 ,2440000000,-0.05%
2020/11/12,26169.38 ,26409.34 ,26460.94 ,26071.15 ,2680000000,-0.22%
2020/11/11,26226.98 ,26226.80 ,26432.56 ,26168.63 ,4120000000,-0.28%
2020/11/10,26301.48 ,26474.04 ,26474.04 ,26041.87 ,3850000000,1.10%
2020/11/9,26016.17 ,26157.77 ,26172.23 ,25950.41 ,2350000000,1.18%
2020/11/6,25712.97 ,25750.78 ,25799.97 ,25540.98 ,2370000000,0.07%
2020/11/5,25695.92 ,25500.91 ,25695.92 ,25343.44 ,2620000000,3.25%
2020/11/4,24886.14 ,24790.00 ,25093.72 ,24733.23 ,2310000000,-0.21%
2020/11/3,24939.73 ,24689.56 ,25048.53 ,24689.51 ,2240000000,1.96%
2020/11/2,24460.01 ,24274.83 ,24486.02 ,24232.66 ,2360000000,1.46%
2020/10/30,24107.42 ,24535.90 ,24600.54 ,24029.95 ,2540000000,-1.95%
2020/10/29,24586.60 ,24290.01 ,24678.90 ,24258.56 ,1940000000,-0.49%
2020/10/28,24708.80 ,24773.54 ,24844.79 ,24586.06 ,2010000000,-0.32%
2020/10/27,24787.19 ,24839.97 ,24872.52 ,24602.11 ,2440000000,-0.53%
2020/10/23,24918.78 ,24773.12 ,24970.59 ,24683.25 ,2370000000,0.54%
2020/10/22,24786.13 ,24696.31 ,24817.01 ,24556.55 ,2490000000,0.13%
2020/10/21,24754.42 ,24695.54 ,24903.00 ,24653.16 ,1930000000,0.75%
2020/10/20,24569.54 ,24571.64 ,24600.39 ,24456.84 ,1880000000,0.11%
2020/10/19,24542.26 ,24565.43 ,24771.85 ,24478.47 ,3610000000,0.64%
